Type,Detail Date,Part ID,Part Description,Site,Part Storeroom,Quantity
Usage,06/25/2019 04:00:00,10W40,Oil,Richmond VA Shop,Main Parts Room - VA,16
Usage,07/18/2016 07:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,07/18/2016 07:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,06/25/2019 04:00:00,3949,Brake Shoes,Richmond VA Shop,Main Parts Room - VA,1
Usage,09/07/2019 04:00:00,33691,Filter Fuel,Richmond VA Shop,Main Parts Room - VA,1
Usage,09/07/2019 04:00:00,51372,Filter Oil,Richmond VA Shop,Main Parts Room - VA,1
Usage,07/14/2020 15:21:20,10W40,Oil,Richmond VA Shop,Main Parts Room - VA,16
Usage,09/07/2019 04:00:00,LB87945,Spot Mirror Bracket,Richmond VA Shop,Main Parts Room - VA,1
Usage,09/07/2019 04:00:00,LM116785,Mirror 8" Spot,Richmond VA Shop,Main Parts Room - VA,1
Usage,01/07/2019 05:00:00,24612-10,"Solenoid, Continous duty",Chicago IL Shop,Main Parts Room - IL,1
Usage,10/06/2019 07:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,10/06/2019 07:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/13/2019 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,01/13/2019 08:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,07/10/2017 07:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,07/10/2017 07:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/11/2018 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,01/11/2018 08:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,03/18/2018 07:00:00,Rebuilt Truck Transmission,Eaton Fuller 7 spd,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,05/27/2019 07:00:00,9004,Dual Beam Bulb,Jacksonville FL Shop,Main Parts Room - FL,2
Usage,08/29/2019 07:00:00,11R/22.5 Steer,Tire Steer,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,12/24/2019 08:00:00,11R/22.5 Steer,Tire Steer,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,06/25/2019 05:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,06/25/2019 04:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,06/25/2019 04:00:00,15W30 Synthetic Oil,Synthetic Oil,Houston TX Shop,Main Parts Room - TX,40
Usage,12/25/2019 08:00:00,11R/22.5 Recap,Tire Recap,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,12/27/2019 08:00:00,15200C,Lamp Recetangular Clear,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/07/2020 08:00:00,11R/22.5 Recap,Tire Recap,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/08/2020 08:00:00,15200C,Lamp Recetangular Clear,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/08/2020 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,01/14/2020 08:00:00,7790,Alternator,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/14/2020 08:00:00,7790 Core,Alternator Core,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/19/2020 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,01/19/2020 08:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/23/2020 08:00:00,11R/22.5 Recap,Tire Recap,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,01/23/2020 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,01/23/2020 08:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,08/13/2018 13:00:00,Diesel In House,Diesel Fuel In House,Richmond VA Shop,Fuel Storage Tanks - VA,0
Usage,02/04/2020 08:00:00,33311,Fuel Filter,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,02/04/2020 08:00:00,3595,Filter Fuel,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,02/04/2020 08:00:00,51372,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,02/04/2020 08:00:00,6418,Filter Air,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,02/04/2020 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,40
Usage,02/04/2020 08:00:00,AntiFreeze,Antifreeze Concentrate,Jacksonville FL Shop,Main Parts Room - FL,3
Usage,01/07/2019 05:00:00,123456-1,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,01/07/2019 05:00:00,51372,Filter Oil,Chicago IL Shop,Main Parts Room - IL,1
Usage,01/07/2019 05:00:00,15W30 Synthetic Oil,Synthetic Oil,Chicago IL Shop,Main Parts Room - IL,48
Usage,01/07/2019 05:00:00,AntiFreeze,Antifreeze Concentrate,Chicago IL Shop,Main Parts Room - IL,1
Usage,03/12/2019 04:00:00,51372,Filter Oil,Chicago IL Shop,Main Parts Room - IL,1
Usage,03/04/2019 05:00:00,10W40,Oil,Houston TX Shop,Main Parts Room - TX,26
Usage,03/04/2019 05:00:00,123456-1,Filter Fuel,Houston TX Shop,Main Parts Room - TX,1
Usage,03/04/2019 05:00:00,33311,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,03/04/2019 05:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,03/12/2019 04:00:00,15W40,Synthetic Oil,Chicago IL Shop,Main Parts Room - IL,32
Usage,03/12/2019 04:00:00,123456-1,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,03/12/2019 04:00:00,33691,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,03/12/2019 04:00:00,11287,Cabin Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,05/31/2019 04:00:00,3595,Filter Fuel,Houston TX Shop,Main Parts Room - TX,1
Usage,05/31/2019 04:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,15
Usage,03/12/2019 04:00:00,S1165HF,Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,05/21/2019 04:00:00,15W40,Synthetic Oil,Chicago IL Shop,Main Parts Room - IL,32
Usage,05/21/2019 04:00:00,51372,Filter Oil,Chicago IL Shop,Main Parts Room - IL,1
Usage,05/21/2019 04:00:00,123456-1,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,05/21/2019 04:00:00,33691,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,05/21/2019 04:00:00,11287,Cabin Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,05/21/2019 04:00:00,S1165HF,Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,10/07/2019 04:00:00,25-080991,"Serpentine Belt, Alternator",Richmond VA Shop,Main Parts Room - VA,1
Usage,10/20/2019 04:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,10/20/2019 04:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,10/20/2019 04:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,10/20/2019 04:00:00,15W30 Synthetic Oil,Synthetic Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,10/20/2019 04:00:00,55488,Transfer Case Gasket Kit,Houston TX Shop,Main Parts Room - TX,1
Usage,05/31/2019 04:00:00,32x4,Hydraulic Cylinder,Houston TX Shop,Main Parts Room - TX,1
Usage,05/31/2019 04:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,15
Usage,06/25/2019 04:00:00,15W30 Synthetic Oil,Synthetic Oil,Houston TX Shop,Main Parts Room - TX,20
Usage,06/25/2019 04:00:00,33691,Filter Fuel,Houston TX Shop,Main Parts Room - TX,1
Usage,06/25/2019 04:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,06/25/2019 04:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,12
Usage,06/25/2019 04:00:00,10W40,Oil,Houston TX Shop,Main Parts Room - TX,20
Usage,06/25/2019 04:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,08/08/2019 04:00:00,15W40,Synthetic Oil,Chicago IL Shop,Main Parts Room - IL,32
Usage,08/08/2019 04:00:00,51372,Filter Oil,Chicago IL Shop,Main Parts Room - IL,1
Usage,08/08/2019 04:00:00,123456-1,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,06/08/2019 04:00:00,1165HF,Filter Hydraulic,Houston TX Shop,Main Parts Room - TX,1
Usage,08/08/2019 04:00:00,123456-1,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,06/08/2019 04:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,24
Usage,07/20/2020 20:10:10,S1165HF,Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,08/08/2019 04:00:00,33691,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,08/08/2019 04:00:00,11287,Cabin Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,08/08/2019 04:00:00,S1165HF,Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,02/24/2020 08:00:00,9876-4,Monroe Shocks,Jacksonville FL Shop,Main Parts Room - FL,2
Usage,02/26/2020 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,38
Usage,02/26/2020 08:00:00,6418,Filter Air,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,02/26/2020 08:00:00,33311,Fuel Filter,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,02/26/2020 08:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,10/16/2019 04:00:00,15W40,Synthetic Oil,Chicago IL Shop,Main Parts Room - IL,32
Usage,10/16/2019 04:00:00,51372,Filter Oil,Chicago IL Shop,Main Parts Room - IL,1
Usage,10/16/2019 04:00:00,123456-1,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,10/16/2019 04:00:00,33691,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,10/16/2019 04:00:00,11287,Cabin Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,10/16/2019 04:00:00,S1165HF,Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,03/06/2020 08:00:00,11R/22.5 Steer,Tire Steer,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,07/10/2019 04:00:00,33691,Filter Fuel,Houston TX Shop,Main Parts Room - TX,1
Usage,07/10/2019 04:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,07/10/2019 04:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,07/10/2019 04:00:00,10W40,Oil,Houston TX Shop,Main Parts Room - TX,20
Usage,03/16/2020 07:00:00,11R/22.5 Steer,Tire Steer,Jacksonville FL Shop,Main Parts Room - FL,2
Usage,03/16/2020 07:00:00,9876-4,Monroe Shocks,Jacksonville FL Shop,Main Parts Room - FL,2
Usage,03/17/2020 07:00:00,24612-10,"Solenoid, Continous duty",Jacksonville FL Shop,Main Parts Room - FL,1
Usage,03/21/2020 07:00:00,HDP-3803403,Water Pump,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,03/21/2020 07:00:00,AntiFreeze,Antifreeze Concentrate,Jacksonville FL Shop,Main Parts Room - FL,4
Usage,04/03/2020 07:00:00,11R/22.5 Recap,Tire Recap,Jacksonville FL Shop,Main Parts Room - FL,4
Usage,04/12/2020 07:00:00,33311,Fuel Filter,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,04/12/2020 07:00:00,3595,Filter Fuel,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,04/12/2020 07:00:00,51372,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,04/12/2020 07:00:00,6418,Filter Air,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,04/12/2020 07:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,36
Usage,04/12/2020 07:00:00,AntiFreeze,Antifreeze Concentrate,Jacksonville FL Shop,Main Parts Room - FL,4
Usage,06/22/2020 07:00:00,21437577,"Pump, Water",Jacksonville FL Shop,Main Parts Room - FL,1
Usage,06/17/2019 07:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,32
Usage,06/17/2019 07:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,06/17/2019 07:00:00,33311,Fuel Filter,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,06/17/2019 07:00:00,3595,Filter Fuel,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,06/21/2019 07:00:00,MBE 4000-A,Rebuilt Engine,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,06/21/2019 07:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,44
Usage,07/14/2019 07:00:00,15729,"Mount, Stop & Taillight",Jacksonville FL Shop,Main Parts Room - FL,1
Usage,07/14/2019 07:00:00,11R/22.5 Steer,Tire Steer,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,08/13/2019 07:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,38
Usage,08/13/2019 07:00:00,6418,Filter Air,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,08/13/2019 07:00:00,33311,Fuel Filter,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,07/18/2019 04:00:00,123456-1,Filter Fuel,Houston TX Shop,Main Parts Room - TX,1
Usage,08/13/2019 07:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,07/18/2019 04:00:00,10W40,Oil,Houston TX Shop,Main Parts Room - TX,42
Usage,07/18/2019 04:00:00,33311,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,07/18/2019 04:00:00,3/4" Fittings,Hydraulic Fittings,Houston TX Shop,Main Parts Room - TX,2
Usage,07/18/2019 04:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,07/18/2019 04:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,07/18/2019 04:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,60
Usage,07/18/2019 04:00:00,S1165HF,Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,09/04/2019 07:00:00,11R/22.5 Recap,Tire Recap,Jacksonville FL Shop,Main Parts Room - FL,2
Usage,08/22/2019 04:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,09/28/2019 07:00:00,25-080991,"Serpentine Belt, Alternator",Jacksonville FL Shop,Main Parts Room - FL,1
Usage,08/22/2019 04:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,08/22/2019 04:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,08/22/2019 04:00:00,10W30,Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,08/22/2019 04:00:00,1165HF,Filter Hydraulic,Houston TX Shop,Main Parts Room - TX,1
Usage,08/22/2019 04:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,48
Usage,08/22/2019 04:00:00,S1165HF,Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,11/05/2019 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,32
Usage,11/05/2019 08:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,11/05/2019 08:00:00,33311,Fuel Filter,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,11/05/2019 08:00:00,3595,Filter Fuel,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,10/15/2019 04:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,10/15/2019 04:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,10/15/2019 04:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,10/15/2019 04:00:00,10W30,Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,11/18/2019 05:00:00,123456-1,Filter Fuel,Houston TX Shop,Main Parts Room - TX,1
Usage,11/18/2019 05:00:00,57745XD,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,11/18/2019 05:00:00,10W30,Oil,Houston TX Shop,Main Parts Room - TX,44
Usage,11/18/2019 05:00:00,ATF Trans Fluid,Trans Fluid,Houston TX Shop,Main Parts Room - TX,20
Usage,12/12/2019 05:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,12/12/2019 05:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,12/12/2019 05:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,12/12/2019 05:00:00,10W30,Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,12/12/2019 05:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,36
Usage,12/12/2019 05:00:00,1165HF,Filter Hydraulic,Houston TX Shop,Main Parts Room - TX,1
Usage,12/12/2019 05:00:00,3678,Cabin Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,11/06/2019 05:00:00,UP-CMX7837,Disc Brake Pads,Chicago IL Shop,Main Parts Room - IL,1
Usage,11/06/2019 05:00:00,UP-SD7837M,Disc Brake Pads,Chicago IL Shop,Main Parts Room - IL,1
Usage,11/06/2019 05:00:00,TS-TS7838M,Disc Brake Pads,Chicago IL Shop,Main Parts Room - IL,1
Usage,11/06/2019 05:00:00,SS-SS7838M,Disc Brake Pads,Chicago IL Shop,Main Parts Room - IL,1
Usage,11/06/2019 05:00:00,VAL-502,DOT 3 Brake Fluid,Chicago IL Shop,Main Parts Room - IL,1
Usage,01/10/2020 05:00:00,15W40,Synthetic Oil,Chicago IL Shop,Main Parts Room - IL,32
Usage,12/24/2019 05:00:00,1165HF,Filter Hydraulic,Houston TX Shop,Main Parts Room - TX,1
Usage,01/06/2020 05:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,01/06/2020 05:00:00,10W30,Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,01/14/2020 05:00:00,7790,Alternator,Houston TX Shop,Main Parts Room - TX,1
Usage,09/25/2019 04:00:00,S1165HF,Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,09/25/2019 04:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,42
Usage,02/05/2020 05:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,02/05/2020 05:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,02/05/2020 05:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,02/05/2020 05:00:00,10W30,Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,03/02/2020 05:00:00,Windshield,Windshield 301,Houston TX Shop,Main Parts Room - TX,1
Usage,11/11/2019 08:00:00,15W40,Synthetic Oil,Jacksonville FL Shop,Main Parts Room - FL,32
Usage,11/11/2019 08:00:00,57745XD,Filter Oil,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,11/11/2019 08:00:00,33311,Fuel Filter,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,11/11/2019 08:00:00,3595,Filter Fuel,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,11/11/2019 08:00:00,6418,Filter Air,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,12/19/2019 08:00:00,380799,Seal Frt Wheel,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,03/04/2020 05:00:00,Alarm,Back-up Alarm,Houston TX Shop,Main Parts Room - TX,1
Usage,03/07/2020 05:00:00,10W30,Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,03/07/2020 05:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,03/07/2020 05:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,03/07/2020 05:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,0
Usage,04/06/2020 04:00:00,7790,Alternator,Houston TX Shop,Main Parts Room - TX,1
Usage,12/11/2019 05:00:00,51372,Filter Oil,Chicago IL Shop,Main Parts Room - IL,1
Usage,12/11/2019 05:00:00,123456-1,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,12/11/2019 05:00:00,33691,Filter Fuel,Chicago IL Shop,Main Parts Room - IL,1
Usage,12/11/2019 05:00:00,S1165HF,Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,12/23/2019 08:00:00,Rebuilt Truck Transmission,Eaton Fuller 7 spd,Jacksonville FL Shop,Main Parts Room - FL,1
Usage,12/11/2019 05:00:00,11287,Cabin Filter,Chicago IL Shop,Main Parts Room - IL,1
Usage,02/08/2019 05:00:00,10R/22.5 Steer,Tire Steer,Houston TX Shop,Main Parts Room - TX,2
Usage,04/02/2020 04:00:00,7790,Alternator,Chicago IL Shop,Main Parts Room - IL,1
Usage,08/10/2015 04:01:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,57.06
Usage,12/25/2019 05:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,12/25/2019 05:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,12/25/2019 05:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,12/25/2019 05:00:00,10W40,Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,12/31/2019 05:00:00,LM116785,Mirror 8" Spot,Houston TX Shop,Main Parts Room - TX,1
Usage,12/31/2019 05:00:00,LB87945,Spot Mirror Bracket,Houston TX Shop,Main Parts Room - TX,1
Usage,01/15/2020 05:00:00,51372,Filter Oil,Houston TX Shop,Main Parts Room - TX,1
Usage,01/15/2020 05:00:00,6418,Filter Air,Houston TX Shop,Main Parts Room - TX,1
Usage,01/15/2020 05:00:00,33711,Fuel Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,01/15/2020 05:00:00,10W30,Oil,Houston TX Shop,Main Parts Room - TX,22
Usage,01/15/2020 05:00:00,AW 45 Hyd Oil,Hydraulic Oil,Houston TX Shop,Main Parts Room - TX,36
Usage,01/15/2020 05:00:00,3678,Cabin Filter,Houston TX Shop,Main Parts Room - TX,1
Usage,01/15/2020 05:00:00,1165HF,Filter Hydraulic,Houston TX Shop,Main Parts Room - TX,1
Usage,08/13/2015 03:59:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,57.46
Usage,08/12/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,57.46
Usage,08/14/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,57.86
Usage,08/16/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,60.27
Usage,08/18/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,35.36
Usage,08/20/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,53.44
Usage,08/22/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,53.44
Usage,08/24/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,58.26
Usage,08/26/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,59.47
Usage,08/20/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,56.65
Usage,08/30/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,59.87
Usage,09/01/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,55.45
Usage,09/03/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,59.87
Usage,09/05/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,59.47
Usage,09/08/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,26.12
Usage,09/10/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,54.64
Usage,09/12/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,59.06
Usage,09/14/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,59.06
Usage,09/16/2015 04:05:00,Diesel In House,Diesel Fuel In House,Jacksonville FL Shop,Fuel Storage Tanks - FL,30.94
