Name,Manufacturer ID
Yost Equipment Sales,YOSTX
York Transport Equipment,YRKTE
"YORK TRAILER INTERNATIONAL, LTD.",YRKTR
York Air Conditioning,YORKX
York,YRKXX
YOKOHAMA TIRE CORP.,YKHMT
Yokogawa,YOKOG
Yoke Industrial USA Inc,YOKEM
YG-1 Co Ltd,YGCOL
Yellowcoach,YELCO
Yellow Jacket Products div of Ritchie Eng,YELOW
Year-A-Round,YRARD
YCC Parts Mfg Co LTD,YCCPM
YAZOO MFG. CO.,YAZOO
Yazaki North America Inc,YAZAK
Yard Vac Equipment,YARDV
Yard Truck Specialist Inc,YRDTR
Yard Hustler,YRDHR
Yard Dog inc,YARDI
YARBROUGH MANUFACTURING,YRBRG
Yara North America Inc,YARAN
Yara International,YARAI
Yantai Jereh Oil Field Services Group Co. Ltd.,JEREH
Yanmar Company Ltd,YNMAR
Yankee,YANKE
Yancey Wire & Cable,YANWC
Yancey SOS Lab,YANCY
"Yamato Shokai, Inc.",YAMSH
Yamaha Outboard Motor Co,YAMHA
YAMAHA INTERNATIONAL CORP.,YAMAH
Yamada America Inc,YAIXX
"YALE INDUSTRIAL TRUCK DIV., E Y & T",YALEX
Yale Crane & Hoist,YLCRH
Yale & Towne,YATOW
Yaktrax LLC,YAKTR
Yad Heavy Duty Parts,YADHD
Yacht Club,YATCB
Yacht Battery USA Inc,YACHT
Y2K Fluid Power,FLPWR
Y Y Cable Accessories Co LTD,YYCBL
Xxentria Technology Materials Company,XXTMC
Xtreme Manufacturing,XTREM
XTL Products LLC,XTLPR
XSV,XSVXX
XP3 Corp,XPCRP
Xnova Electronics,XNOVA
XL Specialized Trailers,XLTRA
XL Screw Corp,XLSCR
XENTEX COMPANY,XENTX
XATA Corp Inc (Geologic Solutions),XATAX
Xantrex Technology Inc,XANTR
X-ACT Technologies,XACTT
Wytwornia Filtrow,WYTWR
Wypo,WYPOX
Wynn's Products USA,WNUSA
Wynns Precision Inc,WYNNS
Wylie Systems,WYLIE
Wy'East Products Inc,WYEST
Wyco Tool Co,WYCOX
WW Trailer Inc,WWTRL
Wurth USA Inc,WRTHU
Wurth Canada,WURTH
Wuhan TS-GSK,WUHAN
WTM Inc,WTMIN
WTI Truck Accessories,WTIXX
Wrought Washer Manufacturing Inc,WWASH
Wright Trailers,WRGHT
Wright Tool Company,WRTTL
Wright Manufacturing,WRGTX
WREN Hydraulic Equipment Manufacturing Co Ltd,WRENH
WPT Power Corp,WPTPW
WORTHINGTON-CEI INC.,WRTHN
Worthington Industries,WORIN
Worthington Cylinder Inc,WRCYL
Worldwide Vinyl,WWVIN
Worldwide Starter & Alternator Specialists,WRLDW
"Worldwide Equipment, Chattanooga",WWDEQ
"Worldwide Equipment Inc., The Truck People",WETTP
Worldwide Equipment - Cincinnati,WREQC
"WORLDTRUCK DIV., MOTIVAIR CORP.",WRLDT
World Wide Tire,WWTIR
World Power Systems,WPSYS
World Parts,WRLDP
WORLD GENERATOR CO.,WRLGN
World Controls Inc,WORLD
World American,WRLAM
Workskiff,WRKSF
Worksafe USA,WKSAF
Workman Electronics Products,WRKMN
Workhorse Custom Chassis,WRKHS
Work Area Protection Corp,WKAPR
Worden Safety Products,WORDN
Worcester Controls div Flowserve,WORCT
Woody's Auto Supply,WOODY
Woodward Governor Co,WWGCO
Wood's Powr-Grip Co,WPGXX
Woods Mowers,WOODM
Woods Metal Works Inc,WDMWK
Woods & Copeland,WOOCO
Woodgate,WOODG
Woodchuck Chipper Corp,WOODS
Woodbine Products Co,WOODB
Woodbine Manufacturing Co,WDBNM
Womack Machine Supply,WOMAK
Wolverine Heater,WOLHT
WOLVERINE EQUIPMENT CORPORTATION,WLVEQ
WOLO Manufacturing Corp,WOLOX
"WOLLARD AIRCRAFT SERVICE EQUIP, INC.",WLLRD
Wolfs Head Oil,WLFOL
Wolflube Equipment,WLFLB
Wolf Peak International,WLFPK
Wolf Coach,WOLFC
Wohlert De Mexico,WOHLR
Wm Penn,WMPEN
WKM Dynaseal div of Cooper Cameron Valves,WKMDL
Wiza Industries,WIZIN
WIX CORPORATION,WIXCR
Witzenmann Group,WTZMN
Witzco Trailers Inc,WITZC
Wittke Waste Equipment,WITKE
WITTEK MANUFACTURING,WTTMF
Witte,WITTE
Wiseda Ltd,WISDA
"WISE COMPANY, INC.",WISEX
Wisconsin Manufacturing,WSCON
Wisco Products Inc,WISCO
Wirtgen,WRTGN
Wired Rite Systems Inc,WIRER
Wipeco Industries,WIPCO
Wipac - CTP Wipac Ltd,WIPAC
Winzer Corporation,WINZR
Winward Petroleum,WINWR
Wintson Trailers - WTM Inc,WINST
Winter Instruments,WNTRI
Winslow,WINSL
Winpower,WNPWR
"WINNEBAGO INDUSTRIES, INC.",WNNIN
Winkler Structures,WINKS
Winimac,WINMC
Win-Holt Equipment Group,WINHT
Winhere Brake Parts Inc,WINHR
Winegard Company,WINEG
Windsor Manufacturing Co.,WNDMF
Windshields & More,WINDS
Windex - S C Johnson,WINDX
"Winco, Inc.",WINCO
Wilwood Engineering Inc,WILWD
Wilton Tool,WLTNT
Wilspec,WLSPC
"WILSON'S TRUCK - BODY SHOP, LTD.",WLSTR
"Wilson, F G Power Solutions",WLSFG
"WILSON TRAILER CO., INC.",WILSN
Wilson Manufacturing,WILMN
Wilson Electronics Inc,WILEC
Wilson Bohannan Co,WILBO
Wilson Auto Electric,WILEL
Wilson,WLSON
Wilmington Glass Company,WILGL
Wilmington Auto Parts,WILAP
Wilmar Tools,WLMAR
Willys,WILLY
WILLOCK TRUCK EQUIP CO. LTD.,WLLCK
Willmar,WLLMR
WILLIAMSEN TRUCK EQUIPMENT CORP.,WLLTR
Williams Scotsman,WMSCT
"WILLIAMS MANUFACTURING CO., INC.",WLLMN
"WILLIAMS CONTROLS, INC.",WLLMS
WILLIAMS AIR CONTROLS,WLLAR
WILLIAM H. HARVEY CO.,WILMH
William E Munson Company Inc,MUNSN
Wilkerson Corp,WLKRS
Wilkens Industries Inc,WILKN
Wilk Rippers,WILKX
Wilden Pump & Engineering LLC,WILDN
Wildco Petroleum Equipment Inc,WLDCO
Wild Cat Inc,WDCAT
Wilcox High Velocity LTD,WIHVL
WILCO INC.,WILCO
Wilbert Plastic Services,WILPS
Wika Instrument Corp,WIKAX
Wiggins Lift Co,WGGNS
Wier-Stat Thermostat,WIERS
Widia Inc,WIDIA
Wicks Truck Trailers Inc,WICKS
Wicked Products,WCKED
Wholessale Tool,WHOTL
Wholesale Warehouse,WHLWH
Whittaker Controls,WHITC
Whitman Equipment Co,WHITM
Whitlock,WHLOC
Whitlam Group,WHTGR
Whiting Systems Inc,WHSYS
WHITING ROLL-UP DOOR MFG. CO.,WHTNG
Whiting Equipment Canada Inc,WHITG
White-Superior,WHSUP
Whiteside Manufacturing Company Inc,WHTSD
Whitesell Corp,WHTCO
White-Rodgers Corp,WHRCO
"Whiteman Industries, Inc.",WHTMN
Whitely Manufacturing Company,WHTLY
WHITEHEAD & KALES,WHTKL
"WHITE TRUCKS, VOLVO WHITE TRUCK CORP.",WHITE
White Tractor Company,WHTCC
White Products,WHPRD
White Mule Company,WHMUL
WHITE MOTOR CORP. OF CANADA,WHTCN
WHITE MATERIAL HANDLING DIV,WHTMT
White Industries,WHTID
White Hydraulic Motor Co,WHHYD
WHITE GMC,WHTGM
WHITE FREIGHTLINER,WHTFR
White Farm Equipment,WHTAG
White Engines & Equipment,WHENQ
White Drive Products,WHDRP
White Diamond Detail Products,WHDDP
WHITE & TAYLOR LTD.,WHTTY
Whitaker Products,WKRPR
Whitaker Flashers,WHITX
Whisper Watt Generators,WHIGN
"WHELEN ENGINEERING CO., INC.",WHLEN
Whelan Brothers,WBROS
WheelTime Network LLC,WHLTM
Wheels Now,WLNOW
Wheelhorse Co,WHEEL
Wheeler Publishing Company,WEEPU
"Wheeler Mfg., a Division of Rex",WHMFG
Wheeler Fleet,WHEFL
Wheeler Brothers Inc,WHLBI
Wheel-Check,WHLCK
Wheelabrator Group,WHLBR
Wheatridge Manufacturing,WHEAT
Whatever It Takes Transmission Parts Inc,WITXX
WGB,WGBXX
Weyerhaeuser,WEYER
Wexco Industries,WEXCO
Wetrok Industrial,WETIN
"WETHERILL ASSOCIATES, INC. (WAI)",WTHRS
Westward Tool,WESTW
Westvac Industrial Ltd,WESVC
WESTRAN CORP.,WESTR
Westpower,WSTPW
Westport HD,WESPT
Westport Fuel Systems,WSTFS
Westport Corporation,WESTP
Westport Axle Corp,WPAXL
Weston Body Hardware,WSTBH
Westmor Industries,WESIN
Westmark/International,WESNL
West-Mark Inc,WESTM
Westmark Engine,WESEN
Westling Mfg,WESTL
WESTLAND TRAILER CO.,WSTLN
Westlake Tires,WSTTE
WESTINGHOUSE ELECTRIC CORP.,WSTNG
WESTINGHOUSE AIR BRAKE CO.,WSTAR
Westin Automotive Products Inc,WSTIN
Western Wire,WESWR
Western Unit,WESTU
Western Truck Fab,WTFAB
Western Truck & Trailer Sales Inc,WESTT
Western Trailer Mfg Co,WSTTR
Western Supply Co Inc,WSCXX
Western States Converter & Transmission Inc,WESTS
"WESTERN STAR TRUCKS, INC.",WSTST
Western SnowPlows,WSTPL
Western Sling Parts,WSTSL
WESTERN SALES & TESTING,WSTRN
Western Rubber,WRBBR
Western Rock Bit Co. Ltd,WESRB
Western Refuse and Recycling Equipment Inc,WRARE
Western Recreational Vehicles,WSTRV
Western Pacific Products Inc,WPPIX
Western Motors Service Co,WSTMO
Western Graphics,WSTGR
Western Global,WESGL
Western Gauge and Instruments Ltd,WGIXX
WESTERN FLYER COACH LTD.,WSTFL
Western Filters,WSTNF
Western Digital,WESDG
Western Auto,WAUTO
Western - A Scott Fetzer Company,WSTEN
Westerbeke,WETRB
Westech Vac Systems,WTVAC
Westcoaster,WECOA
Westcoast Gear,WCGER
Westburne div of Rexel Canada Electrical Inc,WSTBR
Westates,WESTE
Westar Industries,WSTRI
WESTANK INDUSTRIES LTD.,WSTNK
West Whittier Paint Co,WWHIT
West Springfield Auto Parts,WSAPX
West Mobile Mounts Inc,WESMM
West Marine Products Inc,WMARP
West Herr,WHERR
West Crystal Company LTD,WSCRY
West Coast Wire,WCWIR
WEST BEND EQUIPMENT CORP.,WSTBN
WESLEY MANUFACTURING CO.,WSLMN
Weslar Steel,WESLA
Wes-Garde Components,WSGCP
Wescon Products,WESCN
WESCO TRAILER,WSCTR
"Wesco Industrial Products, Inc",WINPI
Wesco Aircraft,WESAC
Wesbrooks Inc,WEBRK
Wesbar Lighting,WESBR
Werts Welding & Tank Service inc,WERTS
Werner Co,WERNR
Werklust,WRKLS
Werker Battery,WERBT
"Wema USA, Inc",WEMAU
Welmac,WEKMC
Wellworthy,WLWRH
Wells/Ampco,WELAM
Wells Manufacturing Corp. LP.,WELLM
Wells Lamont,WLMNT
WELLS CARGO INC.,WELLS
Wellhead Control Products Inc,WELHP
Weller Truck Parts,WELLR
Weller Tools US,WETLS
Welfit Oddy Ltd,WELOD
Weld-Tek Industries LLC,WLDTK
WELDSHIP CORPORATION,WLDSH
"WELDON, INC.",WELDN
Weldon div of Akron Brass,WLDON
WELD-IT COMPANY,WLDIT
Weldex Corp,WLDEX
Weldcraft,WLDCF
"WELD-AID PRODUCTS, INC.",WELDA
Weld Mount Fastening Systems,WLDMT
Weld Cote,WLDCT
Welch Welding,WELCH
Weitron,WETRN
WEISS INSTRUMENTS,WEISS
Weir Hydrau-Flo,WEIRH
"WEILER BRUSH CO., INC.",WEILR
Weigh-Tronix,WETRX
Weifang Huayuan Manufacture Co. LTD,WEIHM
Weidmuller,WEIDM
Weichai Holding Group Co. LTD,WEIHG
Wega,WEGAX
WEG Electric Corporation,WEGEC
Wedlake,WEDLK
Wedco Gas Cans,WEDCO
Webtech Wireless Inc,WBTCH
Webtec,WBTEC
Webster Instruments,WEBIN
Webster Fuel Pumps div of Capital City Tool,WBSTR
"WEBCO-PACIFIC, INC.",WBCPC
"WEBB, Inc.",WEBBE
"Webb Wheel Products, Inc.",WBBWH
Webb Brake Adjusters,WEBBA
"Webasto Thermosystems, Inc.",WEBST
Weaver Lifts,WVLFT
WEAVER JACK CORP.,WEVJK
Weaver Distributing Inc,WEAVD
Weathertech,WEATC
"WEATHERHEAD CO., THE",WTHRH
Weatherford International,WEAIN
Weather Guard div of KNAAK,WEATH
Weasler,WEASL
Wearwell Tennessee Mat,WEARW
Wearever Brakes,WEARB
"Wear Check Canada, Inc.",WRCHK
WD-40 CO.,WDXXX
Wazee Companies,WAZEE
Waytek Inc,WAYTK
Wayne Water Systems,WWSYS
"Wayne Pumps, div of Scott Fetzer Co",WYPMP
WAYNE MANUFACTURING INC.,WAYNE
Wayne Engineering,WAENG
WAYNE CORP.,WYNCR
"WAYMATIC WELDING & FABRICATING, INC.",WYMWL
Waxie Inc,WAXIE
Wausau Iron,WAUIR
WAUKESHA SPECIALTY CO.,WKSSP
WAUKESHA MOTOR CO.,WAKSH
Waukesha Cherry-Burrell,WAKCB
Wauke,WAUKE
Watts Safety and Flow Control,WASFC
Watts Regulator Co,WATTS
"WATT CO., BOYERTOWN AUTO BODY",WATTX
Watson-Marlow Fluid Technology Group,WATMR
"WATSON, H. S.",HWWTS
Watson Gloves,WATGL
Watson and Chalin Mfg Inc,WTSCH
Wathen Company,WTHEN
WATEROUS COMPANY,WATRS
Watermaster Inc,WTRMS
Waterloo,WALOO
Waterford Tank Trailers,WATTL
"WATCO TANKS, INC.",WTCTN
Wastequip Inc,WASTQ
Waste Management Inc,WMXXX
Waste King,WSTKG
Wasp Inc,WASPI
Wasip Ltd,WASIP
Washington Alloy Company,WASAC
Wash Alloy,WASHA
Wasco,WASCO
Wartsila,WRTSL
"WARRENVILLE TRAILER MFG., INC.",WRRTR
"Warren Rupp, Inc., a Unit of IDEX Corp.",WRUPP
Warren Performance Products,WARPP
Warren Inc,WARRN
Warren Distribution,WARND
Warner-Ishi,WARNI
"WARNER GEAR DIV., BORG-WARNER",WARNR
Warner Electric LLC,WNREL
Warner Bodies,WARBD
"WARNER & SWASEY CO., THE",WRNSW
Warner,WANER
Warn Industries Inc,WARNX
"War-Lok, Gabriel Technologies Corp",WARLK
Warfield Electric Company Inc,WRFLD
Ware Machine Works,WAREX
"WARD SCHOOL BUS MFG., INC.",WARDX
WARD PRODUCTS,WRDPR
"WARD LAFRANCE INTL, INC.",WRDLF
Wanxiang America Corporation,WANXA
Wanli Tire Corporation Ltd,WANLI
Wanco Inc,WANCO
"Wamco, Inc.",WAMLT
Wamco Trailers,WAMCO
Walvoil SpA,WALVO
Waltz-Dettmer Supply Co,WALTZ
Waltron Trailers Ltd,WALTL
Walther Engineering & Manufacturing Co,WALMC
Waltham,WLTHM
Walterschied,WLSHD
Walter Tools,WALTT
Walter Surface Technologies,WLTSR
WALTER MOTOR TRUCK CO.,WALTR
Waltec Forgings,WTCFG
Waltco Truck Equipment,WLTTR
Waltco Lift Corporation,WALTC
WALSH BODY & TRAILER CORP.,WLSBD
Walmi Filters,WALMI
Wal-Mart,WALMT
Wally-Mo Trailers,WALMO
Walls Industries,WALLS
Wallers Lawn and Garden,WALLE
Wallace Fuel Injector Co.,WLINJ
WALLACE FORGE CO.,WLLCF
Walkup Co,WLKUP
WALKER STAINLESS EQUIPMENT CO.,WLKST
Walker Products Inc,WLKRP
WALKER MFG. CO.,WLKRM
Walker Mfg Co,WALKR
Walker Engineering,WKREN
Walinga USA Inc,WALNG
Walgahn Motorentechnik Gmbh,WALGH
"WALDON, INC.",WALDN
Walco Equipment Co,WALCO
Walby Limited Robe,WALBY
Walbro HDC,WLBRO
Wako Industrial,WAKIN
Wake County NC,WKCNT
Wajax Industrial,WAJAX
Wainbee Limited,WAINL
Wain Roy,WAIRP
WAI SOUTHWEST,WAISW
WAI Global,WAIGL
Wahler,WAHLR
Wahl Instrument Co,WAHLI
WAGO Kontakttechnik GmbH & Co. KG,WAGOK
Wagner-Smith Equipment Company,WSEQP
Wagner Mining,WAGMI
Wagner Lighting Products,WGNER
WAGNER ELECTRIC CORP.,WGNEL
"WAGNER BRAKE DIV., COOPER IND.",WGNRB
Wagner Alternators and Supplies Inc,WAGRX
Waekon Tools,WAEKN
Wade Transmission and Gear Company,WADET
Wade Services Inc,WADES
WACO INDUSTRIAL SUPPLY,WCIND
"WACO BOLT & NUT, INC.",WCBLT
Wacker Neuson,WCKNE
Wacker Co,WACKE
Wacker Chemical Corp,WACKR
Wabtec Corporation,WABTC
WABCO Vehicle Control Systems,WABVH
WABCO AUTOMOTIVE NORTH AMERICAN OPERATIONS,WABCO
Wabash National Corporation,WABSH
Wab Chemicals,WABXX
W.E. Greer Ltd,WEGER
W.C.I. INDUSTRIES,WCIIN
"W&B Refrigeration Service Company, Inc. (AirPro)",WBAIR
W S Darley & Company,DARLY
W Ralston Inc (Canada),RALST
W M Barr and Co,WMBAR
W K Westley,WKWES
W C Branham Inc,WCBRA
W & E Sales Company,WESLS
Vynckier Enclosure Systems Inc,VYNES
Vulkem/Mameco International,MANME
"Vulcan On-Board Scales, a Division of Stress-Tek, Inc.",VULCN
Vulcan Electric Company,VULEL
Vulcan,VULAN
Vulcain Metal,VULMT
VT Specialized Vehicles Corp,VTSPC
Vstar Lighting & Electrical Co Ltd,VSTAR
VSP Technologies,VSPTC
VSM Lighting,VSMFG
VSI,VSIXX
Voyager Electronics Corp,VYAGE
Voto Manufacturers Co,VOTOX
Votex Ltd,VOTEX
Voss Lighting,VOSSL
Voss Inc,VOSSX
Voss Automotive Inc,VOSSA
Vortox,VRTOX
Vortex,VORTX
Vonarx Corp,VONOR
Von Ruden Manufacturing Inc,VONRD
Vomela Specialty Co,VMELA
VOLVO WHITE TRUCK CORP.,VLVWH
"Volvo Trucks North America, Inc.",VLVNA
VOLVO GM HEAVY TRUCK CORP.,VLVGM
Volvo Construction Equipment Group,VLVCN
"Volvo Cars of North America, Inc.",VOLVO
Volvo Atlas Copco,VOACX
Voltec Power & Lighting,VLTEC
Vology,VOLOG
"Volkswagen of America, Inc.",VLKSW
VOLEX,VOLEX
Vokes,VOKES
Voith Co,VOITH
Vogele America div of Wirtgen Group,VOGLE
Vogel Lubrication Systems,VGLLS
VNE Corporation,VNECP
VME,VMEXX
VMC Right Track,VMCRT
VMAC div of Mangonel Investments Corp,VMACX
VM Motori Italian Diesel Engine Mfg,VMXXX
VLS Solar Panels,VLSSP
Vizuel Solutions,VIZUL
Vitro The Glass Company,VITRO
Visual Marketing Systems Inc,VSMSI
Visteon Manufacturing,VISTN
Vista-Pro LLC,VISTA
VisionTek Products LLC,VISTK
Vision-OE,VISOE
Visionaire Inc,VISON
Vision X,VISIX
Vishay Americas,VSHAY
Virgis,VIRGS
Virginia Department of Transportation,VDOTX
Viraj Forgings,VIRAJ
Vipar Heavy Duty Inc,VIPAR
VIP Steering,VIPST
VIM TRAILER MFG. INC.,VIMXX
Viking Trailers International,VKGTR
Viking Pump div of Idex Corp,VIKNP
Viking Plow Co,VIKNG
Viking Clothing,VIKCL
Viewsonic,VIEWN
Viega LLC,VIEGA
"VIDAL, H.C., LTEE-CN",VDLLT
Victory Climate Systems,VICCS
Victory Blue LLC,VICBL
Victor Professional,VICPF
"VICTOR PRODUCTS DIV., DANA CORP.",VICPR
VICTOR EQUIPMENT CO.,VICTR
Victor Automotive Products div of Bell,VCTOR
Victaulic Corporation,VICCO
Victaulic,VCTLC
Victa Mowers,VICTA
Vicon Products,VICON
VICKERS INC.,VCKRN
VIC,VICXX
Vibrotech Inc,VBTCH
Vibromax Roller Co,VIBRO
Vibratech TVD,VIBRT
VibraSystems Inc,VIBRS
Vibrant Power Inc,VIBPW
VibrAlign Inc,VIBAL
Vibracoustic,VIBAC
Vibco Products,VIBCO
Viatran,VIATR
Viair Corp,VIACP
Via Motors,VIAXX
VHT Paints,VHTXX
VFM,VFMXX
Veyance Technologies Inc,VEYTC
Vetronix,VTRNX
Vestil Manufacturing Corp,VESTL
Vesta Manufacturing,VESTA
"VESPA, PIAGGIO & C.S.P.A.",VESPA
Verti Lift Inc,VERTI
Vertex Standard LMR Inc,VERTX
Vertex Fasteners,VERFS
Versatile Tractors,VERTL
VersaProfiles,VERPR
"Versalift, Div. Of Time Manufacturing Company",VRSLT
Versachem Corp,VSCHM
Versa Valve,VERSA
"VERNZ, INC.",VERNZ
Vernier Co,VERNR
VERMONT AMERICAN TOOL CO.,VRMNT
VERMEER OF CANADA LTD.,VERMR
Vermeer  Manufacturing Company,VRMER
Ver-Mac Inc,VERMC
VERICO,VERIC
Verbom Inc,VERBM
Vera,VERAX
Venture,VENRE
Ventra Group,VENTR
Ventairator LLC,VENTA
Vent Mate,VENTM
Venco Venturo Industries LLC,VNTRO
"VENCO DIVISION, SANTA ANITA MFG. CO.",VNCDV
Venair,VENAR
Velvetouch,VLVTC
VELVETEX INC.,VLVTX
"VELVAC, INC.",VELVC
Vellman Inc,VELMN
Velcro Corp,VLCRO
Velcon,VELCN
"VEHICLE SAFETY MANUFACTURING , LLC",VHCLS
Vehicle Prep Supply Mfg,VHPSS
Vehicle Improvement Products,VEHIP
Vege,VEGEX
Vega Industries Inc,VEGAI
Veethree North America,VEENA
"VEENEMA & WIEGERS, INC.",VNMWG
VEEDER-ROOT,VDRRT
Veeco Beaty Equipment,VEECO
VDO USA,VDOUS
VDO Global,VDOGL
VDO Fleet Systems Division,VDOFS
VDL Weweller Colaert,VDLWC
Vauxhall,VXHLL
Varta Batteries,VARTA
Varitech Industries Inc,VARIT
VariSystems div of Teledyne Marine,VARSY
Variperm Canada Limited,VARIP
Vapormatic,VPRMT
Vapor Systems Technologies Inc,VSTXX
Vapor Rail Inc,VAPOR
Vantage Trailers Inc,VANTR
Vantage Products,VANTG
Van's Electrical Systems,VANSE
Vanoil Completion Systems,VANCS
Vanner Inc,VANRI
"Vanguard Trailer, Inc.",VANGD
Vanguard Steel Ltd,VANST
Vangard Technologies,VANTC
Vanfastic,VANFA
Vander Haags Inc,VANHA
Vandel,VANDL
"VANCO, INC.",VANCO
Vanair Manufacturing,VANAR
Van Products Company,VANPR
Van Pelt Fire Equipment,VPELT
Van Hool,VANHL
Van Dorn,VNDRN
Vammas,VAMAS
Valvtronic div. of Bray International,VALVT
Valvtect,VLVTT
VALVOLINE,VALVO
Valve Check Inc,VLVCK
Valutest,VALUT
Value-Line Brake,VLULN
Value Plastics Inc a Nordson Company,VALPI
Valtra Inc,VLTRA
Val-Tex Inc,VALTX
ValTek Industries,VALTK
Valspar Corporation,VALSP
Valpadana,VLPDN
Valor Enterprises Inc,VALEN
Valor,VALPM
Valmet,VALMT
Valmar Marine,VALMR
Vallourec,VALEC
Valley Truck Parts,VALTP
Valley Towing Products,VALEY
VALLEY INDUSTRIES,VLLEY
VALLEY FORGE PRODUCTS CO.,VLLFR
Valley Chrome Plating Inc,VALCR
Vallen,VALLN
Vallee Industries,VALLE
Valk,VALKX
Valid Manufacturing Inc,VALIM
Valeo Wiper Systems,VALWS
Valeo Engine Cooling div of Valeo,ENTUL
Valeo Compressors Inc,VALCM
Valeo Clutches,ETNVL
Valeo,VALEO
Valcom,VACOM
Valco Truck and Trim Inc,VALCO
Valberg LLC,VALBG
Vaisala Inc,VSALA
VAG,VAGXX
Vac-Tron,VCTRN
Vactor Corp,VACTR
Vacmasters,VACMA
Vac-Con Inc,VACCN
Vacall,VACAL
"V.W. Kaiser Engineering, Inc.",KAISR
V & W,VWXXX
V & O Machining,VOMAC
UZ Engineered Products,UZEPR
UWS Truck Accessories,UWSTA
UView Ultraviolet Systems inc,UVIEW
"UVEX SAFETY, INC.",UVEXS
UTV International,UTVIN
Utterback Supply,UTTER
UTILITY TRAILER MANUFACTURING CO.,UTLTY
Utility Tool & Trailer Inc,UTILT
Utility Auto Industries,UTLAU
UTILIMASTER CORPORATION,UTLMT
"Utilicor Technologies, Inc",UTLCR
USX,USXXX
"Ustc, A Manitowoc Company",USTCX
USSC Group Inc,USSCG
"USK Internacional, SA de CV",USKXX
Ushio,USHIO
USB Seating,USBST
USave LED,USLED
USA Sealants,USASL
USA Industries,USAIN
USA Harness,USAHN
US Trailer Parts & Supply Inc,USTPS
US Traffic/Peek Traffic,USTRF
US Tarp,USTRP
US Supply Seat Products,USEAT
US Robotics Inc,USROB
US Mower,USMOW
US Motor Works,USMOT
US Mex Enterprises,USMEX
US Lube,USLUB
US Jack Company,USJCK
US Ditcher Inc,DTCHR
US Coach Work,USCWK
US CHEMICAL AND PLASTICS,USCHM
US Auto,USAUT
US Attachments,USATT
Urrea Professional Tools Inc,URREA
URO Systems,UROXX
Uptime Parts,UPTME
Upright Tree Specialists,UPRIT
Up-Right Harvester - American Grape Harvesters,UPRGT
U-Pol Products,UPOLX
Unverferth Mfg,UNVER
Unocal,UNOCL
Unknown,Unknown
Unknown,Unknown
Uniweld,UNIWL
Universal Valve Company Inc,UNIVL
UNIVERSAL TRUCK AIR MFG. CO.,UNVTR
Universal Trailer Corp,UNITR
"UNIVERSAL SOUTHWEST, INC.",UNVSW
Universal Seal,UNVSL
Universal Rope Fabrication Ltd,UNRFB
Universal Repair & Sales LLC,UNIVS
Universal Power Conversion,UNVPW
Universal Polymer & Rubber LTD,UPRLD
Universal Marine,UNVMR
Universal Lubricants,UNLUB
Universal Lighting Technologies,UNVLT
UNIVERSAL HANDLING EQUIPMENT CO.,UNVRS
Universal Go-Tract Ltd,GOTRC
Universal Friction Company,UNIFR
Universal Fleet Supply - Transcom USA,UFSXX
Universal Filters,UNVFL
Universal Engine Heater Company Inc,UNENH
